"","A549","HEK293T","K562","HeLa"
"A1BG",0.129976065758622,0.41314345837572,0.0927647577856272,0.171638026736965
"A1CF",0.00331875473204287,0,0,0
"A2ML1",0.00023696123986939,0,0.00224533994207597,0.000272859446789843
"A4GALT",0.0712724900495478,0.0346517861938621,0.00016211762438737,0.0498412080840422
"AAAS",0.378457202829415,0.545011145487496,0.618308248825548,0.377659269851573
"AACS",0.191406648747245,0.189292671769978,0.0677765625632926,0.187444541830944
"AADAC",0.162957107886101,0,0,0
"AADAT",0.113896563699745,0.172175758322484,0.000494369335626841,0.0865006839841872
"AAGAB",0.958785182770718,0.452428684635146,0.394109836898817,0.28040828944402
"AAK1",0.574006036938238,0.648821711750264,0.255254538728531,0.832964488019692
"AAMDC",0.162884300292216,0.306919374423284,0.0687763843490537,0.144432843772252
"AAMP",0.639876416066871,1.23021150540159,0.91001374036262,0.643375549493444
"AANAT",0.000330304731522734,0.000542814968481756,0.000118650651185529,0.00110894582288253
"AAR2",0.563885260732586,0.242108659263979,0.270702611912425,0.221277747387476
"AARD",0.00142236180462629,0.0265241018004317,0,0.00112580525852738
"AARS",1.11703375787542,1.40696656950455,0.703765668884944,1.77021548612145
"AARS2",0.101348486724421,0.418873417387791,0.371567939506516,0.13829310630558
"AARSD1",0.234375184388881,0.297156462211813,0.621312611982454,0.33266518623545
"AASDH",0.0910980260410962,0.259030074355802,0.142814926045307,0.132709450166971
"AASDHPPT",0.748001101523452,0.741830073504848,1.05015727515156,0.789125705781938
"AASS",0.00229056494357761,0.686979079482465,0.00310517094411199,0
"AATF",1.70105706252276,0.590507124256251,1.61266385993858,1.30710610485613
"AATK",0.0032310433707729,0.058850264988958,0.00323431301892906,0.0745204418919201
"ABAT",0.0054918756882581,0.0448389815671843,0.00192002486110406,0.00226694096566036
"ABCA1",0.886079446655209,0.0449728511527371,0.000495818947692283,0.190818425933645
"ABCA10",0.0138103366553642,0.00695760649980039,0.00092155733350058,0.0107729088715295
"ABCA12",0.00540285536177869,0,0,0.000841022365823034
"ABCA13",0.000782952521610083,0.000111886652541896,0.00275390787442451,0.00112065083383847
"ABCA2",0.0130093836589653,0.019073741640104,0.00537397640011376,0.0498147400901443
"ABCA3",0.148433977912108,0.405236588859317,0.198272750277127,0.553161094118483
"ABCA4",0.000560753765193024,0.00134092090746676,0,0.000141835267962599
"ABCA5",0.145853841520444,0.279136648315993,0.033438792802904,0.118263657016162
"ABCA6",0.000437382117270298,0.00297347449949109,0.00260195253030817,0.000434518305889042
"ABCA7",0.0229425190385648,0.0973215936953256,0.206015448321206,0.368867539557471
"ABCA8",0.00108615452110397,0.00200093122353886,0.0405060551367961,0.00738798328076583
"ABCA9",0.000762221354414999,0.00124813960618863,0,0.00571015058120269
"ABCB1",0.00212817994451571,0.181660043668579,0.0140678738744459,0.000543193229746412
"ABCB10",0.220637698306597,0.490456874649139,0.536188633564754,0.158930190196907
"ABCB11",0.000173779411406803,0.00238694759579087,0.00176238920935087,0.00370705899339794
"ABCB4",0.0015999821236063,0.0143628618996488,0.00177749057593999,0.000192780959367793
"ABCB5",0,0.00164604910227584,0.000122738224398416,0
"ABCB6",0.0333182453148025,0.134035833722909,0.263327820659754,0.154260282977283
"ABCB7",0.240729271389985,0.38454698085175,0.241406633498744,0.519390484210868
"ABCB8",0.152156070967491,0.293389270244737,0.624020160789791,0.266799076837057
"ABCB9",0.0101190535087026,0.029985721286358,0.0405268286822005,0.0282141902893718
"ABCC1",0.865297410413432,0.265634352531354,0.284336696613877,0.234840845157754
"ABCC10",0.04029174015149,0.113177024850264,0.118024727151306,0.0441485937140357
"ABCC11",0.000791741317843251,0.000318616376619425,0.000639229497129372,0.00128877806306314
"ABCC2",1.57228043805171,0.0105602616273161,0.00352538351412695,0.0585879551542922
"ABCC3",0.480617405564625,0.00192923274288169,0.00091962814443201,0.313281866879234
"ABCC4",0.352239386032285,0.245202745825604,0.4099700705761,0.191300826207231
"ABCC5",0.103457741953166,0.203694370820118,0.396530393559356,0.24357586374006
"ABCC6",0.0056230484855897,0.034341987258541,0.000232912004994038,0.0284887389834985
"ABCC8",0.0114249681879232,0.0295472075398052,0,0.000341519957265982
"ABCC9",0.00566082242328855,0.0213973771680125,0.00402347221579807,0.000341519957265982
"ABCD1",0.016465341121475,0.0394970627634008,0.0308436240174985,0.11479808096246
"ABCD2",0.000295479049413971,0.0116183885751741,0,0.000141172182599844
"ABCD3",0.364552011697343,0.720314244647606,0.311101724359542,0.820677771713287
"ABCD4",0.157671957707258,0.4714855827319,0.100005208273201,0.151866985439708
"ABCE1",1.73066522465566,1.53865079081864,2.30370382183222,1.17475744179521
"ABCF1",1.16104855173056,1.54703978535545,3.56020540485851,1.6577345729608
"ABCF2",1.17062090755958,1.2334732543019,1.9916395222736,1.44631878220149
"ABCF3",0.0455586082366623,0.0732822193392075,0.162279183986115,0.0875733491033215
